nome_da_maquininha;código da maquininha;grupo;débito;pré-pago débito;crédito;pré-pago crédito;taxa_credito_parcelado_2;taxa_credito_parcelado_3;taxa_credito_parcelado_4;taxa_credito_parcelado_5;taxa_credito_parcelado_6;taxa_credito_parcelado_7;taxa_credito_parcelado_8;taxa_credito_parcelado_9;taxa_credito_parcelado_10;taxa_credito_parcelado_11;taxa_credito_parcelado_12
UAG 08;11244065;cxd (bras);;;;;;;;;;;;;;;
UAC 15;423305;cxd (bras);;;;;;;;;;;;;;;
JEC 10;397500;cxd (bras);;;;;;;;;;;;;;;
DSC 04;1670459;cxd (bras);;;;;;;;;;;;;;;
MFC 07;1280891;cxd (bras);;;;;;;;;;;;;;;
HNR 06;SN149744;cxd (bras);;;;;;;;;;;;;;;
SZG 03;14472297;cxd (bras);;;;;;;;;;;;;;;
FTR 04 - DEV;SN680547;devolvida;;;;;;;;;;;;;;;
POG 04;13496424;devolvida;;;;;;;;;;;;;;;
POG 05;13409608;devolvida;;;;;;;;;;;;;;;
GSG 04;13987615;devolvida;;;;;;;;;;;;;;;
ENG 06;14444728;devolvida;;;;;;;;;;;;;;;
TFR 04;SN059261;devolvida;;;;;;;;;;;;;;;
PLR 01;SN105280;devolvido;;;;;;;;;;;;;;;
PLR 04;SN585661;devolvido;;;;;;;;;;;;;;;
CMR 19;FC185373;donachen;;;;;;;;;;;;;;;
PLX 01;APT29D8D;donachen;;;;;;;;;;;;;;;
ENX 01;APT2A928;donachen;;;;;;;;;;;;;;;
MAG 06;14831884;donachen2;0.03;0.03;0.06;0.06;0.07;0.08;0.09;0.09;0.09;0.11;0.12;0.13;0.13;0.14;0.14
AZG 07;12114335;esp.jing;;;;;;;;;;;;;;;
MP 05;1071628;estoque;;;;;;;;;;;;;;;
TFG 02(ret);11956444;estoque;;;;;;;;;;;;;;;
TFG 03;11956456;estoque;;;;;;;;;;;;;;;
TFG 04;11956445;estoque;;;;;;;;;;;;;;;
TFG 05;11956465;estoque;;;;;;;;;;;;;;;
ALG 06;12742280;estoque;;;;;;;;;;;;;;;
SVG 10;12742761;estoque;;;;;;;;;;;;;;;
FZG 02;12774876;estoque;;;;;;;;;;;;;;;
FZG 05;12774874;estoque;;;;;;;;;;;;;;;
PLC 01;152062;estoque;;;;;;;;;;;;;;;
PLC 02;152384;estoque;;;;;;;;;;;;;;;
STC 01;1540049;estoque;;;;;;;;;;;;;;;
STC 02;1540416;estoque;;;;;;;;;;;;;;;
RNC 01;1738197;estoque;;;;;;;;;;;;;;;
RNC 02;1738178;estoque;;;;;;;;;;;;;;;
RNC 05;267881;estoque;;;;;;;;;;;;;;;
RNC 06;292141;estoque;;;;;;;;;;;;;;;
RNC 07;281015;estoque;;;;;;;;;;;;;;;
RNC 09;279762;estoque;;;;;;;;;;;;;;;
MFR 01-dev;SN942221;estoque;;;;;;;;;;;;;;;
CMR 103;SN021011;estoque;;;;;;;;;;;;;;;
WFG 01;13491619;estoque;;;;;;;;;;;;;;;
TFG 05;JA8400500794;estoque;;;;;;;;;;;;;;;
NWR 01;SN837659;estoque;;;;;;;;;;;;;;;
NWR 02;SN440084;estoque;;;;;;;;;;;;;;;
PHX;PGWPIR60;estoque;;;;;;;;;;;;;;;
PHC 01;111735;estoque;;;;;;;;;;;;;;;
CMR 14;FC284417;figueirinha;0.035;0.035;0.055;0.08;0.08;0.11;0.11;0.11;0.11;0.11;0.11;0.15;0.15;0.15;0.15
CMR 33;FC265015;figueirinha;0.035;0.035;0.055;0.08;0.08;0.11;0.11;0.11;0.11;0.11;0.11;0.15;0.15;0.15;0.15
FZG 03;12774998;figueirinha;0.035;0.035;0.055;0.08;0.08;0.11;0.11;0.11;0.11;0.11;0.11;0.15;0.15;0.15;0.15
CMR 111;SN098646;figueirinha;0.035;0.035;0.055;0.08;0.08;0.11;0.11;0.11;0.11;0.11;0.11;0.15;0.15;0.15;0.15
TFG 04;13843991;figueirinha;0.035;0.035;0.055;0.08;0.08;0.11;0.11;0.11;0.11;0.11;0.11;0.15;0.15;0.15;0.15
CMR 437;SN903936;figueirinha;0.035;0.035;0.055;0.08;0.08;0.11;0.11;0.11;0.11;0.11;0.11;0.15;0.15;0.15;0.15
CMR 439;SN519680;figueirinha;0.035;0.035;0.055;0.08;0.08;0.11;0.11;0.11;0.11;0.11;0.11;0.15;0.15;0.15;0.15
CMR 442;SN589367;fortaleza;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
EDC 10;1368894;fortaleza;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
CLG 03;13724067;fortaleza;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
CLG 04;13718689;fortaleza;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
DYG 05;13718800;fortaleza;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
CMR 101;SN313964;fortaleza;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
HNR 05;SN778696;fortaleza;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
BLG 02;13960849;fortaleza;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
CLR 01;SN693432;fortaleza;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
CLR 05;SN720821;fortaleza;0.045;0.045;0.065;0.065;0.09;0.09;0.12;0.12;0.12;0.15;0.15;0.15;0.18;0.18;0.18
